,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
479,Faya,SA,18.3851,42.4509,66.72,42,100,7.43,overcast clouds
480,Semporna,MY,4.4818,118.6112,80.26,82,100,4.07,overcast clouds
481,Black Diamond,US,47.3087,-122.0032,55.56,94,100,3.0,moderate rain
482,Lazurne,UA,46.084,32.5295,58.23,55,83,23.6,broken clouds
483,Boden,SE,65.8252,21.6886,48.2,94,56,9.1,broken clouds
484,Casa Nova,BR,-9.4167,-41.1333,96.78,23,26,12.06,scattered clouds
485,Paita,PE,-5.0892,-81.1144,79.36,73,23,16.35,few clouds
486,Hambantota,LK,6.1241,81.1185,79.12,82,100,16.15,overcast clouds
487,Kharan,PK,28.5833,65.4167,77.29,11,3,4.36,clear sky
488,Marsabit,KE,2.3284,37.9899,72.9,37,31,18.28,scattered clouds
489,Marsa Matruh,EG,31.3525,27.2453,71.24,65,0,7.99,clear sky
490,Kommunisticheskiy,RU,61.6789,64.4819,34.16,93,99,6.02,overcast clouds
491,Igarka,RU,67.4667,86.5833,35.02,99,100,14.14,light rain
492,Amapa,BR,1.0,-52.0,83.44,66,99,2.24,overcast clouds
493,Raudeberg,NO,61.9875,5.1352,53.2,81,100,3.0,light rain
494,Marawi,PH,7.9986,124.2928,66.65,86,95,2.62,light rain
495,Ormara,PK,25.2088,64.6357,80.01,85,0,9.51,clear sky
496,Jipijapa,EC,-1.3333,-80.5833,79.48,58,78,7.16,broken clouds
497,Lumeje,AO,-11.55,20.7833,67.82,81,51,2.64,light rain
498,Shingu,JP,33.7333,135.9833,64.4,72,49,6.13,scattered clouds
499,Castro Alves,BR,-12.7656,-39.4283,84.16,46,89,12.82,overcast clouds
500,Taoudenni,ML,22.6783,-3.9836,96.71,9,5,9.08,clear sky
501,Nkhotakota,MW,-12.9274,34.2961,78.64,52,1,2.04,clear sky
502,Lander,US,42.833,-108.7307,76.1,18,1,9.22,clear sky
503,Pasaje,EC,-3.3333,-79.8167,75.27,65,77,6.11,broken clouds
504,Grindavik,IS,63.8424,-22.4338,41.9,87,90,12.66,overcast clouds
505,Juba,SS,4.8517,31.5825,75.76,74,55,4.09,broken clouds
506,Port-Gentil,GA,-0.7193,8.7815,78.19,85,100,17.67,overcast clouds
507,Dondo,MZ,-19.6094,34.7431,72.91,89,9,5.19,clear sky
508,Caravelas,BR,-17.7125,-39.2481,77.77,77,83,10.47,broken clouds
509,Panjab,AF,34.388,67.0233,43.21,14,0,2.57,clear sky
510,Shetpe,KZ,44.1667,52.1167,45.91,48,100,20.98,overcast clouds
511,Gaziantep,TR,37.0594,37.3825,65.86,33,0,6.91,clear sky
512,Makueni,KE,-1.8041,37.6203,66.58,64,100,9.35,overcast clouds
513,Nuh,IN,28.1167,77.0167,89.67,59,48,4.38,scattered clouds
514,Saint-Joseph,RE,-21.3667,55.6167,68.38,84,12,4.34,few clouds
515,Amuntai,ID,-2.4177,115.2494,73.15,98,100,0.6,overcast clouds
516,Along,IN,28.1667,94.7667,67.73,94,15,1.5,few clouds
517,Parvatsar,IN,26.8833,74.7667,84.09,58,78,1.45,broken clouds
518,Konnur,IN,16.2,74.75,71.49,92,100,2.55,overcast clouds
519,Egvekinot,RU,66.3167,-179.1667,28.72,92,100,11.97,light snow
520,Alirajpur,IN,22.3031,74.3546,79.48,79,66,2.91,broken clouds
521,Qaqortoq,GL,60.7167,-46.0333,41.5,73,1,7.72,clear sky
522,Changde,CN,29.0464,111.6783,62.74,80,15,8.68,light rain
523,Mogzon,RU,51.7435,111.9606,30.52,84,81,2.13,broken clouds
524,Sur,OM,22.5667,59.5289,83.35,68,0,11.12,clear sky
525,Yicheng,CN,31.3705,119.8703,74.28,92,33,8.7,scattered clouds
526,Leningradskiy,RU,69.3833,178.4167,29.97,98,100,8.77,snow
527,Aldan,RU,58.6031,125.3894,26.53,98,100,2.28,light snow
528,Patacamaya,BO,-17.2333,-67.9167,58.05,43,99,13.65,overcast clouds
529,Blagoyevo,RU,63.3667,47.9167,41.56,85,22,7.87,few clouds
530,Yar-Sale,RU,66.8333,70.8333,38.3,88,100,11.03,overcast clouds
531,Charlestown,AU,-32.95,151.6667,53.73,62,18,1.99,few clouds
532,Luderitz,NA,-26.6481,15.1594,57.54,78,0,7.4,clear sky
533,Zaozerne,UA,45.1582,33.2787,52.95,73,100,23.44,overcast clouds
534,Ngunguru,NZ,-35.6167,174.5,62.17,85,100,5.48,overcast clouds
535,Dori,BF,14.0354,-0.0345,95.74,22,100,8.19,overcast clouds
536,Devrek,TR,41.2192,31.9558,49.8,93,15,4.21,few clouds
537,Serenje,ZM,-13.2325,30.2352,67.86,64,15,3.67,few clouds
538,San Felipe,VE,10.3399,-68.7425,84.52,69,99,2.98,overcast clouds
539,Ogbomosho,NG,8.133,4.25,75.51,89,78,3.58,moderate rain
540,Sao Felix Do Xingu,BR,-6.6447,-51.995,91.45,39,93,1.7,overcast clouds
541,Longido,TZ,-2.7333,36.6833,70.41,49,69,14.72,broken clouds
542,Pervomayskoye,RU,43.919,46.7102,55.26,75,100,17.56,overcast clouds
543,Sept-Iles,CA,50.2001,-66.3821,57.06,66,84,3.0,broken clouds
544,Tual,ID,-5.6667,132.75,81.45,76,95,9.33,overcast clouds
545,Beira,MZ,-19.8436,34.8389,73.49,94,20,5.75,few clouds
546,Kayes,ML,14.0,-11.0,83.48,55,55,5.66,broken clouds
547,Hurghada,EG,27.2574,33.8129,79.02,46,0,19.17,clear sky
548,Saqqez,IR,36.2499,46.2735,51.4,21,0,5.37,clear sky
549,Chalus,IR,36.655,51.4204,64.58,80,93,9.53,overcast clouds
550,Yauya,PE,-8.9833,-77.3,54.1,67,100,6.73,light rain
551,Savannah Bight,HN,16.45,-85.85,86.05,73,37,8.61,scattered clouds
552,Churapcha,RU,62.0025,132.4325,25.38,96,77,6.8,broken clouds
553,Bentiu,SS,9.2333,29.8333,77.65,77,100,5.12,overcast clouds
554,Gornopravdinsk,RU,60.05,69.9,34.12,94,100,4.07,overcast clouds
555,Luanda,AO,-8.8368,13.2343,72.93,79,84,12.73,broken clouds
556,Henties Bay,NA,-22.116,14.2845,54.86,87,2,5.01,clear sky
557,Tobermory,CA,45.2501,-81.6665,68.31,75,0,8.01,clear sky
558,Honolulu,US,21.3069,-157.8583,82.96,62,40,17.27,scattered clouds
559,Amazar,RU,53.858,120.875,28.63,90,6,2.66,clear sky
560,Paka,MY,4.6374,103.4368,77.72,87,100,2.35,overcast clouds
561,Kharod,IN,21.75,82.5667,76.89,88,40,2.86,scattered clouds
562,Sao Raimundo Nonato,BR,-9.0153,-42.6994,96.35,19,70,8.05,broken clouds
563,Aklavik,CA,68.2191,-135.0107,29.3,77,10,14.65,clear sky
564,Kajiado,KE,-1.8524,36.7768,65.5,52,100,14.16,overcast clouds
565,Olinda,BR,-8.0089,-34.8553,80.33,74,40,11.5,scattered clouds
566,Yaksatovo,RU,46.2434,48.0151,42.78,52,76,11.01,broken clouds
567,Havelock,US,34.8791,-76.9013,84.97,67,43,5.01,scattered clouds
568,Kenai,US,60.5544,-151.2583,41.14,80,90,4.61,overcast clouds
569,Mattru,SL,7.6244,-11.8332,76.06,96,94,3.78,overcast clouds
570,San Policarpo,PH,12.1791,125.5072,75.6,93,100,3.49,light rain
571,French Harbor,HN,16.35,-86.4333,87.8,82,40,1.99,scattered clouds
572,Kisangani,CD,0.5167,25.2,69.66,99,59,2.64,moderate rain
573,Te Anau,NZ,-45.4167,167.7167,49.26,93,100,1.19,overcast clouds
574,Tete,MZ,-16.1564,33.5867,84.52,46,3,11.54,clear sky
575,Bilma,NE,18.6853,12.9164,86.31,15,1,8.23,clear sky
576,Manokwari,ID,-0.8667,134.0833,78.4,78,100,2.57,overcast clouds
577,La Cruz,MX,23.9167,-106.9,88.29,58,0,6.08,clear sky
578,Tazovskiy,RU,67.4667,78.7,40.55,96,100,19.04,overcast clouds
579,Ilulissat,GL,69.2167,-51.1,35.62,38,75,20.71,broken clouds
580,Jizan,SA,17.3333,42.6667,88.56,63,97,2.8,overcast clouds
581,Najran,SA,17.4924,44.1277,76.78,17,100,1.79,overcast clouds
582,Vidim,RU,56.4088,103.1106,28.63,85,93,4.65,overcast clouds
583,Balsas,BR,-7.5325,-46.0356,101.61,16,95,6.46,overcast clouds
584,Makhinjauri,GE,41.6739,41.694,57.06,94,75,4.61,light intensity shower rain
585,Aksarka,RU,66.5606,67.7975,38.34,89,88,12.62,overcast clouds
586,Ranong,TH,9.9658,98.6348,76.05,92,100,5.77,moderate rain
587,Zeya,RU,53.75,127.2667,28.56,73,5,3.98,clear sky
588,Altay,CN,47.8667,88.1167,46.31,36,100,5.95,overcast clouds
589,Santa Rosa,PH,14.3122,121.1114,78.1,88,100,5.53,light rain
590,Bijie,CN,27.3125,105.2942,64.4,90,91,4.76,overcast clouds
591,Qui Nhon,VN,13.7667,109.2333,76.98,89,100,6.13,heavy intensity rain
592,Gezing,AT,47.9178,13.1299,60.96,97,75,4.61,light rain
593,Nalut,LY,30.3333,10.85,80.92,22,0,9.08,clear sky
594,Krivodol,BG,43.3744,23.4844,55.0,48,0,4.14,clear sky
595,Nkoteng,CM,4.5167,12.0333,70.02,95,87,1.28,overcast clouds
596,Karasuk,RU,53.7377,78.0403,32.77,100,100,11.14,snow
597,Verkhoturye,RU,58.8627,60.8054,34.34,83,100,4.25,overcast clouds
598,Nenjiang,CN,49.1833,125.2167,37.87,82,0,4.79,clear sky
599,Pacifica,US,37.6138,-122.4869,83.41,74,75,3.0,broken clouds
600,Praia Da Vitoria,PT,38.7333,-27.0667,73.76,95,70,9.71,broken clouds
601,Mindelo,CV,16.8901,-24.9804,78.35,73,20,28.77,few clouds
602,Leh,IN,34.1667,77.5833,48.11,36,1,4.45,clear sky
603,Charlottetown,CA,46.2352,-63.1267,64.56,63,26,5.99,scattered clouds
604,Havre-Saint-Pierre,CA,50.2334,-63.5986,51.44,76,98,14.27,overcast clouds
605,Banyo,CM,6.75,11.8167,65.12,96,100,3.91,light rain
606,Vila Velha,BR,-20.3297,-40.2925,71.94,82,99,10.54,overcast clouds
607,Albolote,ES,37.2309,-3.6551,67.55,52,0,3.44,clear sky
608,Kamina,CD,-8.7386,24.9906,67.71,91,100,2.48,moderate rain
609,Sisimiut,GL,66.9395,-53.6735,37.47,70,100,10.49,overcast clouds
610,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,70.32,33,100,8.7,overcast clouds
611,Dodge City,US,37.7528,-100.0171,82.22,35,1,3.0,clear sky
612,Newtownards,GB,54.5924,-5.6909,51.75,84,75,4.0,broken clouds
613,Cascais,PT,38.6979,-9.4215,68.5,77,20,8.99,few clouds
614,Westport,US,41.1415,-73.3579,66.27,84,90,5.99,overcast clouds
615,Springdale,US,36.1867,-94.1288,78.53,51,40,8.01,scattered clouds
616,Mount Isa,AU,-20.7333,139.5,71.37,20,95,0.0,overcast clouds
617,Chapais,CA,49.7834,-74.8492,61.9,46,0,4.76,clear sky
618,La Ronge,CA,55.1001,-105.2842,52.18,34,100,14.32,overcast clouds
619,Itupiranga,BR,-5.1347,-49.3267,93.52,50,96,2.17,overcast clouds
620,Saint-Pierre,RE,-21.3393,55.4781,69.48,78,2,2.3,clear sky
621,Shar,KZ,49.5886,81.0453,34.03,80,100,9.73,overcast clouds
622,Sumatac,BA,45.0989,15.8575,62.22,87,100,4.45,light rain
623,Lagoa,PT,39.05,-27.9833,71.94,87,55,10.22,broken clouds
624,Nouadhibou,MR,20.931,-17.0347,70.43,84,0,24.58,clear sky
625,Dornbirn,AT,47.4167,9.7331,56.53,80,75,5.01,broken clouds
626,Timizart,DZ,36.8,4.2667,62.74,64,61,1.92,broken clouds
627,Kondinskoye,RU,59.6481,67.41,36.01,87,100,5.68,overcast clouds
628,Lagoa Formosa,BR,-18.7786,-46.4075,90.01,27,95,5.06,overcast clouds
629,Barmer,IN,25.75,71.3833,84.58,51,0,6.42,clear sky
630,Huron,US,41.1501,-82.5499,78.53,74,40,10.96,scattered clouds
631,Chase,CA,50.8165,-119.6857,62.2,52,100,5.32,overcast clouds
632,Fairbanks,US,64.8378,-147.7164,35.31,90,100,2.62,overcast clouds
633,Palauig,PH,15.435,119.9045,80.55,79,100,9.15,light rain
634,Bagdarin,RU,54.4333,113.6,26.96,70,23,1.28,few clouds
635,Shahrud,IR,36.4182,54.9763,58.42,69,1,11.43,clear sky
636,Were Ilu,ET,10.6,39.4333,52.56,78,23,2.77,few clouds
637,Rio Grande City,US,26.3798,-98.8203,92.82,23,0,10.58,clear sky
638,Kaeo,NZ,-35.1,173.7833,62.33,97,100,3.89,overcast clouds
639,Mizdah,LY,31.4451,12.9801,75.51,36,0,8.14,clear sky
640,Novoagansk,RU,61.9449,76.6625,33.55,98,100,8.59,overcast clouds
641,Sulangan,PH,11.1373,123.7228,79.41,85,100,10.6,overcast clouds
642,Flers,FR,48.7372,-0.5747,52.05,88,10,9.17,clear sky
643,Sarai,RU,53.7458,41.0213,40.87,64,3,6.44,clear sky
644,Charters Towers,AU,-20.1,146.2667,68.18,97,98,6.98,overcast clouds
645,Lodhran,PK,29.5405,71.6336,83.35,52,0,5.44,clear sky
646,Limbang,MY,4.75,115.0,77.11,96,91,2.86,overcast clouds
647,Formosa Do Rio Preto,BR,-11.0483,-45.1931,98.62,15,12,7.36,few clouds
648,Camana,PE,-16.6228,-72.7111,63.9,76,100,8.05,overcast clouds
649,Macaubas,BR,-13.0194,-42.6986,96.08,12,34,8.32,scattered clouds
650,Japura,ID,-0.3167,102.35,74.75,94,89,2.15,overcast clouds
651,Tessalit,ML,20.1986,1.0114,90.82,12,10,10.29,clear sky
652,Jiwani,PK,25.05,61.7417,80.46,85,6,8.16,clear sky
653,Sotuta,MX,20.6,-89.0167,88.32,58,84,4.09,broken clouds
654,High Rock,BS,26.6208,-78.2833,82.56,72,5,12.17,clear sky
655,Kiunga,PG,-6.1219,141.2906,71.01,99,83,0.6,broken clouds
656,Sukhobuzimskoye,RU,56.5,93.2728,28.04,86,65,5.3,broken clouds
657,Angoche,MZ,-16.2325,39.9086,76.17,81,4,9.1,clear sky
658,Novo Aripuana,BR,-5.1206,-60.3797,98.01,30,99,4.88,overcast clouds
659,Ugoofaaru,MV,5.6667,73.0,82.62,76,100,19.28,overcast clouds
660,Dinajpur,BD,25.6272,88.6386,75.94,94,30,6.06,scattered clouds
661,Belaya Gora,RU,68.5333,146.4167,21.79,67,100,9.01,overcast clouds
662,Kupang,ID,-10.1667,123.5833,76.86,80,89,5.68,overcast clouds
663,Vangaindrano,MG,-23.35,47.6,68.94,79,84,6.02,broken clouds
664,Pringsewu,ID,-5.3582,104.9744,75.4,89,90,5.39,overcast clouds
665,Balykshi,KZ,47.0667,51.8667,37.4,44,0,13.42,clear sky
666,Ulcinj,ME,41.9294,19.2244,62.82,64,40,5.28,scattered clouds
667,Bardiyah,LY,31.7561,25.0865,71.13,63,0,8.66,clear sky
668,Anse-Bertrand,GP,16.4721,-61.5078,87.62,100,18,17.83,few clouds
669,Yambio,SS,4.5721,28.3955,69.67,89,35,0.87,light rain
670,Salinopolis,BR,-0.6136,-47.3561,83.21,68,61,12.01,broken clouds
671,Murwillumbah,AU,-28.3167,153.4,55.98,82,0,4.61,clear sky
672,Bilibino,RU,68.0546,166.4372,9.68,96,100,3.27,overcast clouds
673,Napasar,IN,27.9667,73.55,88.43,47,11,5.79,few clouds
674,Houma,US,29.5958,-90.7195,86.0,72,2,5.99,clear sky
675,Syracuse,IT,37.0881,15.2792,71.65,75,95,13.35,light rain
676,Merrill,US,45.1805,-89.6835,73.11,60,90,0.0,overcast clouds
677,Artyshta,RU,54.1222,86.2909,32.81,92,78,3.33,broken clouds
678,Herzberg,DE,51.6869,13.2202,55.53,100,75,4.61,broken clouds
679,La Concepcion,PA,8.5167,-82.6167,83.44,81,71,4.81,broken clouds
680,Indianola,US,41.3581,-93.5574,74.91,60,31,6.82,scattered clouds
681,Hualmay,PE,-11.0964,-77.6139,66.16,74,95,10.76,overcast clouds
682,Shaunavon,CA,49.6501,-108.4181,81.93,13,5,14.54,clear sky
683,Changchun,CN,43.88,125.3228,50.14,51,100,5.01,overcast clouds
684,Ust-Kulom,RU,61.6864,53.6902,35.62,94,65,5.06,broken clouds
685,Fukue,JP,32.6881,128.8419,76.23,63,0,7.58,clear sky
686,Porto Santo,PT,33.072,-16.3415,71.51,64,20,11.5,few clouds
687,Bafoulabe,ML,13.8065,-10.8321,82.63,60,41,4.12,scattered clouds
688,Vestmanna,FO,62.1564,-7.1664,41.92,100,20,6.91,few clouds
689,Hwange,ZW,-18.3693,26.5019,81.21,39,72,1.74,broken clouds
690,Firminopolis,BR,-16.5819,-50.305,90.32,32,84,2.28,broken clouds
691,Yerbogachen,RU,61.2767,108.0108,26.53,96,87,5.55,overcast clouds
692,Nyurba,RU,63.2842,118.3319,28.96,83,100,5.06,overcast clouds
693,Tortoli,IT,39.9256,9.6572,68.99,64,40,6.67,scattered clouds
694,Port Keats,AU,-14.25,129.55,78.91,83,7,6.46,clear sky
695,Todos Santos,MX,23.45,-110.2167,95.0,71,2,10.04,clear sky
696,Nakhon Phanom,TH,17.3333,104.4167,74.39,85,99,4.21,overcast clouds
697,Antanifotsy,MG,-19.65,47.3167,54.81,94,50,1.81,scattered clouds
698,Peniche,PT,39.3558,-9.3811,68.61,91,95,10.16,overcast clouds
699,Umm Kaddadah,SD,13.6017,26.6876,87.93,18,0,10.87,clear sky
700,Suntar,RU,62.1444,117.6319,29.7,95,94,4.54,overcast clouds
701,Maragogi,BR,-9.0122,-35.2225,76.71,76,69,6.87,broken clouds
702,Matane,CA,48.8286,-67.522,55.24,62,12,7.63,few clouds
703,Bethanien,NA,-26.502,17.1583,65.82,24,0,6.53,clear sky
704,Moyale,KE,3.5167,39.0584,75.7,44,69,7.94,broken clouds
705,The Pas,CA,53.8251,-101.2541,60.37,29,100,13.67,overcast clouds
706,Bulgan,MN,48.8125,103.5347,35.78,70,50,2.82,scattered clouds
707,Gat,IL,31.61,34.7642,74.08,65,0,4.34,clear sky
708,Waipawa,NZ,-41.4122,175.5153,55.45,91,99,6.26,overcast clouds
709,Zavodskoy,RU,43.4597,132.2922,33.39,93,81,2.24,broken clouds
710,Ardino,BG,41.5833,25.1333,53.8,76,0,2.66,clear sky
711,Heihe,CN,50.2441,127.4902,35.06,79,12,4.81,few clouds
712,Wamba,NG,8.9333,8.6,76.96,84,99,2.26,light rain
713,Buchanan,LR,5.8808,-10.0467,80.56,87,26,7.96,scattered clouds
714,North Bend,US,43.4065,-124.2243,56.25,96,90,3.44,mist
715,Iowa City,US,41.6611,-91.5302,72.46,60,90,8.05,overcast clouds
716,Mogwase,ZA,-25.185,27.2665,71.92,40,50,3.02,scattered clouds
717,Aromashevo,RU,56.8602,68.6375,28.92,83,92,4.34,overcast clouds
718,Tiarei,PF,-17.5333,-149.3333,82.42,68,20,13.67,few clouds
719,Corinto,GR,37.9407,22.9573,66.76,60,0,4.38,clear sky
